Actual_Train,Predicted_Train
27862.0,27138.557022213936
27399.5,27635.522369474173
28613.5,29108.04138839245
32450.5,33063.36669510603
36855.5,36912.199005424976
40663.5,38778.28406390548
42059.5,39924.382494241
41948.5,40588.18253684044
42170.5,40824.05709978938
42176.0,40371.34272560477
42001.0,39700.7448387146
42482.5,40409.73912420869
43120.5,41864.47386392951
45059.5,43494.78676036
46419.0,44853.3513019979
45550.5,44462.62688738108
43707.0,43546.13293418288
40770.5,41028.61471089721
37607.0,37805.62912538648
33880.0,33646.862771213055
30308.0,30018.605935692787
29676.5,28791.27208453417
29319.5,27965.857823193073
28304.5,27124.76834732294
27535.5,27004.2838434875
27102.5,27126.523931965232
28224.5,28273.713325724006
31831.0,30996.057962477207
36245.0,34224.75633659959
39965.0,36301.85420131683
41649.0,38158.74287137389
42095.5,39283.45723706484
42382.5,40024.88306879997
43022.0,39940.89463919401
42815.5,40592.44595888257
42376.0,40735.38579830527
42811.5,41890.76529473066
44082.5,43270.10343411565
45027.49999999999,43752.860656648874
44194.0,42893.0239392817
41992.5,41701.23304629326
39340.5,39264.96599781513
36408.5,36475.04366013408
33747.5,32747.455983400345
30685.5,29583.187467187643
30097.0,28625.14828774333
29614.5,28282.006813913584
28439.5,27507.189427509904
27576.0,27330.49273790419
27025.0,27397.627358019352
27212.0,28317.40601697564
28806.0,30801.3347761631
30513.5,33539.01887065172
32912.0,35311.70052456856
35376.0,36467.5250710547
36481.5,36076.95031929016
36994.5,35318.75830960274
37210.0,35579.99481827021
37101.0,35877.42807546258
37180.0,36152.260272711515
38081.5,37792.68525791168
40925.0,39787.77575656772
43209.5,40929.54971817136
42299.0,41198.3954013288
39625.0,41297.5982414186
37569.5,40031.604112416506
34587.5,36946.40484416485
31550.0,32719.58521565795
28631.0,29504.99650385976
27976.0,27962.439208567142
27578.5,27085.466094613075
26681.5,25891.55235221982
25837.5,25702.162874266505
25283.5,26301.961370408535
25308.5,27221.790245190263
26340.5,28781.492798686028
27788.0,30794.670840740204
29783.5,32551.698941856623
32768.0,34152.18363797665
34973.5,34467.93680983782
36088.0,34203.596766233444
37571.5,34394.82256799936
38109.0,35151.852721333504
38664.0,36103.38550519943
39658.0,37140.836581766605
42572.5,39430.67428326607
43684.5,40912.407413840294
41515.0,40610.63393393159
38474.5,39386.590696275234
35821.5,37316.29067584872
32882.5,33910.57659393549
29191.0,30072.488501012325
25982.5,27219.583702743053
25214.0,25923.63041843474
24858.0,24843.63373760879
24032.0,23985.164663016796
23234.0,23736.88974505663
22699.5,24046.297999680042
23984.5,24686.082077607512
28080.5,25513.758020341396
32836.5,27050.781728595495
36707.0,29067.94946721196
38522.5,32076.976251393557
38860.0,34835.406374156475
39236.0,36169.306083887815
39391.0,36450.19174966216
39216.0,36806.56263193488
38650.0,37743.692335516214
39048.5,38425.29241129756
41389.0,39409.124801784754
42977.0,39846.95166066289
41515.5,38574.8174162209
38722.5,37084.48261013627
35336.5,35100.05952820182
32056.0,31771.41787672043
28747.5,28352.811127781868
26105.0,25680.873333528638
25570.5,24613.644272476435
25408.0,24188.827250882983
24671.0,23514.534070014954
24238.0,23665.640381127596
24161.5,24152.6521640867
25358.5,25245.778806328773
29288.5,28738.477528765798
34195.5,32754.64176955819
37962.0,35125.13790220022
39595.0,37032.08879634738
39417.0,38308.82714274526
39525.0,38867.15032094717
39971.0,38442.999889820814
39535.5,38192.574552983046
39208.0,38523.46927314997
40956.0,39590.27199199796
43121.0,41546.73372077942
44658.5,42757.720843821764
43681.0,42490.8050237596
42017.0,41084.48818600178
39266.0,38479.59639570117
36025.0,34493.52128058672
32652.0,30855.044047653675
29144.5,28198.979377359152
28530.5,27224.147435113788
28383.5,26538.52517017722
27467.5,25660.11056664586
26858.0,25589.904904186726
26452.0,25965.75558823347
27276.0,27180.547298520803
31009.5,30342.858382165432
35688.5,34151.78584986925
39344.0,35836.22352913022
40546.0,37530.5232026577
41148.0,38887.90028771758
